Url,CenterName,Symbol,TradeCenterID,ChangePrice,VonHoa,ChangeVolume,EPS,PE,Beta,Price,UpdatedDate,FullName,ParentCategoryId
/upcom/PX1-cong-ty-co-phan-xi-mang-song-lam-2.chn,UpCom,PX1,9,0,200,0,0,0,0,10,/Date(1703834409740)/,Công ty cổ phần Xi măng Sông Lam 2,344
/upcom/PXA-cong-ty-co-phan-dau-tu--thuong-mai-dau-khi-nghe-a.chn,UpCom,PXA,9,0,16.5,400,0.035862681,33.46096729,0.881342564,1.1,/Date(1703834409740)/,Công ty cổ phần Đầu tư & Thương mại Dầu khí Nghệ A,345
/upcom/PXC-cong-ty-co-phan-phat-trien-do-thi-dau-khi.chn,UpCom,PXC,9,0,14.03445,0,-0.91150936,-0.548540719,0,0.5,/Date(1703834409740)/,Công ty cổ phần Phát triển đô thị Dầu khí,345
/upcom/PXI-cong-ty-co-phan-xay-dung-cong-nghiep-va-dan-dung-dau-khi.chn,UpCom,PXI,9,0,81,12.05334675,-0.439238981,-9.561992868,1.308926406,2.7,/Date(1703834409740)/,Công ty Cổ phần Xây dựng công nghiệp và dân dụng Dầu khí,345
/upcom/PXL-tong-cong-ty-co-phan-dau-tu-va-phat-trien-kcn-dau-khilong-son.chn,UpCom,PXL,9,0,726.6548256,51.81171719,0.004556598,2282.404527,1.32580916,8.8,/Date(1703834409740)/,Tổng Công ty cổ phần Đầu tư và Phát triển KCN Dầu khí-Long Sơn,345
/upcom/PXM-cong-ty-co-phan-xay-lap-dau-khi-mien-trung.chn,UpCom,PXM,9,25,7.5,400.0588235,-1.091049936,-0.641583833,0.03583736,0.5,/Date(1703834409740)/,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,345
/upcom/PXS-cong-ty-co-phan-ket-cau-kim-loai-va-lap-may-dau-khi.chn,UpCom,PXS,9,0,270,-32.58322485,-2.193914642,-2.734837484,1.720455181,4.5,/Date(1703834409740)/,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,345
/upcom/PXT-cong-ty-co-phan-xay-lap-duong-ong-be-chua-dau-khi.chn,UpCom,PXT,9,0,70,-18.59623734,0.062307122,78.64269465,0.953183873,3.5,/Date(1703834409740)/,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,345
/hose/QBS-cong-ty-co-phan-xuat-nhap-khau-quang-binh.chn,HSX,QBS,1,-0.423728814,162.9253308,-45.95835885,-0.416490018,-6.674829836,1.380418469,2.35,/Date(1703834409740)/,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,338
/upcom/QCC-ctcp-dau-tu-xay-dung-va-phat-trien-ha-tang-vien-thong.chn,UpCom,QCC,9,0,13.56294,0,1.203599626,9.388504078,0.01954065,10.2,/Date(1703834409740)/,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,345
/hose/QCG-cong-ty-co-phan-quoc-cuong-gia-lai.chn,HSX,QCG,1,-0.462962963,2957.638266,2.633592654,-0.047654776,-285.385878,1.012125735,10.75,/Date(1703834409740)/,Công ty Cổ phần Quốc Cường Gia Lai,345
/hastc/QHD-cong-ty-co-phan-que-han-dien-viet-duc.chn,HNX,QHD,2,3.821795656,198.889776,61.29032258,3.802792643,9.356603156,0.22267987,36,/Date(1703834409740)/,Công ty Cổ phần Que hàn điện Việt Đức,344
/upcom/QHW-ctcp-nuoc-khoang-quang-ninh.chn,UpCom,QHW,9,-13.68078176,211.4541,-100,0,0,0,26.5,/Date(1703834409740)/,CTCP Nước khoáng Quảng Ninh,346
/upcom/QNC-cong-ty-co-phan-xi-mang-va-xay-dung-quang-ninh.chn,UpCom,QNC,9,5,503.4288,-56.47632312,1.819171798,4.61748583,0.307510297,8.4,/Date(1703834409740)/,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,345
